true_journal,predicted_journal,count
OPTIMIZATION METHODS & SOFTWARE,MATHEMATICAL PROGRAMMING,6
PERSONAL AND UBIQUITOUS COMPUTING,HUMAN-COMPUTER INTERACTION,6
SEMANTIC WEB,JOURNAL OF WEB SEMANTICS,6
CMC-COMPUTERS MATERIALS & CONTINUA,CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES,5
COMPUTERS & OPERATIONS RESEARCH,COMPUTERS & INDUSTRIAL ENGINEERING,5
EVOLUTIONARY COMPUTATION,IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,5
INTERNATIONAL JOURNAL OF DATA MINING AND BIOINFORMATICS,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,5
ACM TRANSACTIONS ON APPLIED PERCEPTION,IEEE TRANSACTIONS ON HAPTICS,4
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,INTEGRATION-THE VLSI JOURNAL,4
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,JOURNAL OF FUNCTIONAL PROGRAMMING,4
ADVANCES IN ENGINEERING SOFTWARE,COMPUTERS & STRUCTURES,4
COMPUTER SPEECH AND LANGUAGE,SPEECH COMMUNICATION,4
